Wavelength,Lamps-00,Lamps-01,Lamps-02,Lamps-03,Lamps-04,Lamps-05,Lamps-06,Lamps-07,Lamps-08,Lamps-09,Lamps-10,Lamps-11,Lamps-12
1510.000000,0.000000,15.020523,29.480716,43.491481,58.042828,72.626509,86.701621,101.128395,115.473001,129.813827,144.039209,158.801906,173.344930
1520.000000,0.011411,15.250444,29.848155,44.007447,58.718890,73.385874,87.485558,102.162205,116.634725,131.119439,145.546365,160.503866,175.169606
1530.000000,0.000000,15.334023,30.025342,44.397744,59.094487,73.880072,88.086383,102.774337,117.321800,131.996377,146.458975,161.514533,176.214411
1540.000000,0.000000,15.370189,30.136967,44.460430,59.217194,74.002117,88.239831,103.012796,117.639164,132.215698,146.833771,161.810157,176.592129
1550.000000,0.000000,15.338792,29.984071,44.162356,58.996756,73.684276,87.792234,102.516855,116.937461,131.639330,145.945544,160.972066,175.530159
1560.000000,0.000000,15.188909,29.797594,43.862433,58.474353,73.060835,87.060688,101.546109,116.007786,130.443251,144.744425,159.456261,173.998820
1570.000000,0.021162,15.165412,29.516486,43.496816,57.975070,72.403912,86.252924,100.664614,114.943841,129.301649,143.284971,158.078483,172.380773
1580.000000,0.000000,14.920778,29.230254,43.108976,57.512154,71.823081,85.598086,99.766660,113.982207,128.128680,142.188953,156.684896,170.989822
1590.000000,0.000000,14.892285,29.112901,42.871742,57.150504,71.395668,85.027932,99.200978,113.214270,127.339656,141.252858,155.785739,169.875921
1600.000000,0.000000,14.819729,28.997365,42.678549,56.878332,71.089963,84.667823,98.749510,112.771089,126.704606,140.532922,155.014667,169.060891
1610.000000,0.000000,14.883265,28.949249,42.658169,56.826323,70.956824,84.565103,98.661768,112.567239,126.535644,140.432083,154.774870,168.806844
1620.000000,0.027537,14.818574,28.982083,42.678307,56.831243,70.959344,84.479974,98.595730,112.537688,126.438592,140.359491,154.730425,168.636655
1630.000000,0.000000,14.869241,28.971697,42.658191,56.796798,70.933018,84.497538,98.552610,112.311001,126.297101,140.223711,154.507982,168.576530
1640.000000,0.000451,14.848238,28.912704,42.586403,56.705718,70.790125,84.319323,98.369408,112.252200,126.090589,139.920289,154.225992,168.154628
1650.000000,0.014536,14.821229,28.832259,42.416262,56.411743,70.455275,83.935448,97.935036,111.693842,125.510841,139.216636,153.458012,167.412025
1660.000000,0.000000,14.740431,28.614335,42.098068,56.086741,69.972977,83.330312,97.165304,110.832609,124.574783,138.197339,152.318722,166.099775
1670.000000,0.000000,14.531722,28.238017,41.580017,55.344411,69.057628,82.184923,95.794904,109.198317,122.795666,136.227150,150.126753,163.763257
1680.000000,0.036130,14.140450,27.552019,40.517122,53.958043,67.381707,80.240503,93.520371,106.742230,119.927407,133.059760,146.728125,159.897845
1690.000000,0.000000,13.631942,26.486144,39.066107,52.005776,64.850714,77.281679,90.095935,102.703625,115.488090,128.144149,141.185476,153.941730
